Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CEZ,VictoryShares Emerging Market Volatility Wtd ETF,25.8976,$18.13M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cez
CID,VictoryShares International High Div Volatility Wtd ETF,32.46,$40.58M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cid
CIL,VictoryShares International Volatility Wtd ETF,38.0401,$39.94M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cil
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,48.72,$833.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cfo
CFA,VictoryShares US 500 Volatility Wtd ETF,52.38,$733.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cfa
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,37.5769,$95.81M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csf
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,45.76,$711.49M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cdc
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,47.34,$331.37M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cdl
VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,31.15,$42.05M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vsmv
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,43.3953,$73.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csb
CSA,VictoryShares US Small Cap Volatility Wtd ETF,44.99,$29.24M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csa
VRAY,"ViewRay, Inc.",8.72,$845.43M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vray
VKTX,"Viking Therapeutics, Inc.",8.01,$577.1M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktx
VKTXW,"Viking Therapeutics, Inc.",6.49,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vktxw
VBFC,Village Bank and Trust Financial Corp.,32.77,$47.14M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/vbfc
VFF,"Village Farms International, Inc.",11.69,$574.96M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/vff
VLGEA,"Village Super Market, Inc.",26.57,$382.64M,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/vlgea
VIOT,"Viomi Technology Co., Ltd",8.78,$608.16M,2018,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/viot
VNOM,Viper Energy Partners LP,29.54,$1.85B,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
VIRC,Virco Manufacturing Corporation,4.41,$68.54M,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/virc
VTSI,"VirTra, Inc.",2.69,$20.81M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/vtsi
VIRT,"Virtu Financial, Inc.",21.44,$4.27B,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/virt
VRTS,"Virtus Investment Partners, Inc.",102.62,$717.03M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrts
VRTSP,"Virtus Investment Partners, Inc.",91.5,$105.23M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrtsp
BBC,Virtus LifeSci Biotech Clinical Trials ETF,28.3359,$28.34M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbc
BBP,Virtus LifeSci Biotech Products ETF,41.1682,$41.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbp
VRTU,Virtusa Corporation,43.61,$1.31B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/vrtu
VISL,"Vislink Technologies, Inc.",1.64,$3.16M,2013,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/visl
VTGN,"VistaGen Therapeutics, Inc.",0.765,$31.46M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtgn
VC,Visteon Corporation,54.16,$1.53B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/vc
VIVE,"Viveve Medical, Inc.",0.368,$17.11M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vive
VVPR,VivoPower International PLC,1.0449,$14.17M,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/vvpr
VVUS,"VIVUS, Inc.",3.43,$36.49M,1994,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vvus
VOD,Vodafone Group Plc,16.14,$43.13B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/vod
VOXX,VOXX International Corporation,3.96,$95.83M,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/voxx
